capability_id,decision,official_identifiers,stable_ids,max_scan_radius,max_events_per_trigger,max_network_nodes,loop_guard,failure_state,metrics,source_files,notes_zh
sensor,reuse_official,DEFAULT_PT_TSNS|DEFAULT_PT_PSNS|DEFAULT_PT_LSNS|DEFAULT_PT_VSNS|DEFAULT_PT_DTEC|DEFAULT_PT_LDTC,164|172|185|189|162|186,8,1,1,life_latch_reset,no_signal_outside_threshold,sensor_hits|sensor_misses|signal_latency_frames,src/simulation/elements/TSNS.cpp|src/simulation/elements/PSNS.cpp|src/simulation/elements/LSNS.cpp|src/simulation/elements/VSNS.cpp|src/simulation/elements/DTEC.cpp|src/simulation/elements/LDTC.cpp,场景把可配置探测长度限制为 8；引擎硬上限仍为 25 或边界终止
filtering,reuse_official,DEFAULT_PT_FILT|DEFAULT_PT_DTEC|DEFAULT_PT_LSNS|DEFAULT_PT_VSNS,125|162|185|189,8,8,16,bounded_filt_chain_length,unchanged_payload_on_no_match,filter_reads|filter_writes|filter_rejects,src/simulation/elements/FILT.cpp|src/simulation/elements/DTEC.cpp|src/simulation/elements/LSNS.cpp|src/simulation/elements/VSNS.cpp,FILT 保存有限位状态；传感器只写入场景声明的短链
delay,reuse_official,DEFAULT_PT_DLAY,79,2,1,16,life_countdown_to_zero,output_deenergized,delay_input_pulses|delay_output_pulses|delay_frames,src/simulation/elements/DLAY.cpp,DLAY 用 life 倒计时且只在归零时输出一次
counting,reuse_official,DEFAULT_PT_DLAY|DEFAULT_PT_LSNS|DEFAULT_PT_FILT,79|185|125,8,1,16,finite_pulse_window_and_life_decay,counter_holds_last_valid_value,input_pulses|counted_pulses|overflow_rejects,src/simulation/elements/DLAY.cpp|src/simulation/elements/LSNS.cpp|src/simulation/elements/FILT.cpp,有限脉冲窗口由 DLAY 定时；LSNS/FILT 序列化状态并由验证器计数输出
storage,reuse_official,DEFAULT_PT_STOR,83,2,1,1,single_slot_life_cooldown,retain_or_reject_when_output_blocked,stored_particles|released_particles|blocked_releases,src/simulation/elements/STOR.cpp,STOR 只有一个粒子槽且释放失败时不丢失载荷
valve,reuse_official,DEFAULT_PT_PPIP|DEFAULT_PT_SWCH,161|56,2,1,64,bounded_network_manifest_and_deenergized_default,paused,valve_open_events|valve_close_events|blocked_transfers,src/simulation/elements/PPIP.cpp|src/simulation/elements/SWCH.cpp,每个场景声明 PPIP 连通节点数不超过 64；失电或紧停时保持暂停
feeding,reuse_official,DEFAULT_PT_CRAY|DEFAULT_PT_PSTN,167|168,2,16,16,tmp_length_and_piston_limits,no_create_when_deenergized,feed_requests|feed_created|feed_rejected,src/simulation/elements/CRAY.cpp|src/simulation/elements/PSTN.cpp,CRAY 射程和数量及 PSTN 推送长度均在场景数据中显式限制
waste_discharge,reuse_official,DEFAULT_PT_STOR|DEFAULT_PT_PIPE|DEFAULT_PT_PPIP,83|99|161,2,2,64,pipe_push_depth_two_and_bounded_network,retain_payload_when_paused,waste_accepted|waste_moved|waste_retained,src/simulation/elements/STOR.cpp|src/simulation/elements/PIPE.cpp|src/simulation/elements/PPIP.cpp,PIPE 单帧递归推送深度为 2；PPIP 网络按场景限制为 64 节点
shutdown,reuse_official,DEFAULT_PT_SWCH|DEFAULT_PT_PPIP,56|161,2,1,64,life_decay_and_pause_latch,paused_deenergized,shutdown_requests|shutdown_acknowledged|post_stop_events,src/simulation/elements/SWCH.cpp|src/simulation/elements/PPIP.cpp,紧停关闭 PPIP 并使串联 SWCH 失电；恢复必须由独立复位脉冲触发
alarm,reuse_official,DEFAULT_PT_WIFI|DEFAULT_PT_LCRY,124|54,1,1,1,wireless_next_frame_latch,dark_deenergized,alarm_transmits|alarm_receives|alarm_clears,src/simulation/elements/WIFI.cpp|src/simulation/elements/LCRY.cpp,WIFI 固定频道在下一帧锁存；LCRY 仅作为可见报警状态
interlock,reuse_official,DEFAULT_PT_TSNS|DEFAULT_PT_PSNS|DEFAULT_PT_DTEC|DEFAULT_PT_INST|DEFAULT_PT_SWCH,164|172|162|106|56,8,1,32,series_gate_requires_all_inputs,deenergized,interlock_passes|interlock_blocks|interlock_resets,src/simulation/elements/TSNS.cpp|src/simulation/elements/PSNS.cpp|src/simulation/elements/DTEC.cpp|src/simulation/elements/INST.cpp|src/simulation/elements/SWCH.cpp,串联传感和开关门禁在任一条件失败时不向执行器送电
