identifier,recipe_en,recipe_zh,production_en,production_zh,use_en,use_zh,hazard_en,hazard_zh
OMNI_PT_SOIL,SOIL + WATR -> wet SOIL; wet SOIL + HUMS + NUTR -> 3 SOIL; hot wet SOIL -> SOIL + WTRV.,土壤 + 水 -> 湿润土壤；湿润土壤 + 腐殖质 + 营养盐 -> 3 份土壤；加热湿润土壤 -> 土壤 + 水蒸气。,Dry hot sludge into soil.,加热污泥并将其干燥为土壤。,Water buffering soil recovery and toxin adsorption.,蓄水、土壤回收和毒素吸附实验。,Hot wet soil releases vapour and captured toxin becomes sludge.,受热湿土会释放水蒸气，吸附的毒素会转入污泥。
OMNI_PT_WWTR,WWTR + BIOF -> DSTW; WWTR + ALGA + NUTR -> 2 BLOM + HUMS.,污水 + 生物膜 -> 蒸馏水；污水 + 藻类 + 营养盐 -> 2 份藻华 + 腐殖质。,Contaminate fresh water with HMET or RCON or wash oil with DETG.,用重金属、放射性颗粒污染清水，也可用洗涤剂清洗石油产生。,Wastewater treatment eutrophication and pollution transport.,污水处理、富营养化和污染输运实验。,Conductive polluted water can produce blooms when nutrients and algae meet.,可导电污水遇到营养盐和藻类时会形成藻华。
OMNI_PT_PEST,PEST + PATH or MOLD or ALGA or BLOM -> TOXN + treated biomass.,农药 + 病原体、霉菌、藻类或藻华 -> 毒素 + 已处理生物质。,,,Broad biological control with an explicit pollution tradeoff.,带有污染代价的广谱生物处理实验。,Every successful treatment leaves one toxin particle.,每次成功处理都会留下一个毒素颗粒。
OMNI_PT_HMET,HMET + WATR -> HMET + WWTR; HMET + BIOF -> SLUD.,重金属污染物 + 水 -> 重金属污染物 + 污水；重金属污染物 + 生物膜 -> 污泥。,Wait for RCON to decay.,等待放射性污染物衰变。,Heavy-metal water contamination and capture.,重金属水污染和捕获实验。,Dense toxic powder repeatedly contaminates adjacent fresh water until captured.,高密度有毒粉末会持续污染邻近清水，直至被捕获。
OMNI_PT_RCON,RCON periodically contaminates adjacent fresh water; expired RCON -> HMET + short PHOT.,放射性污染物会周期性污染邻近清水；寿命结束后 -> 重金属污染物 + 短寿命光子。,,,Finite low-level radioactive pollution and cleanup.,有限寿命的低水平放射性污染和清理实验。,Decay adds heat and one short photon before leaving heavy-metal residue.,衰变会释放热量和一个短寿命光子，并留下重金属残留。
OMNI_PT_MPLS,MPLS + BIOF -> SLUD; hot MPLS -> SMOG.,微塑料 + 生物膜 -> 污泥；高温微塑料 -> 烟霾。,,,Persistent particulate filtration and thermal pollution.,持久颗粒过滤和热污染实验。,Strong heat creates toxic smog.,强热会产生有毒烟霾。
OMNI_PT_OWST,OWST + MYCL + WATR or WWTR -> HUMS + NUTR + MYCL; hot OWST -> SMOG.,有机废物 + 菌丝 + 水或污水 -> 腐殖质 + 营养盐 + 菌丝；高温有机废物 -> 烟霾。,,,Composting nutrient recovery mould feed and smog production.,堆肥、营养回收、霉菌培养和烟霾生成实验。,Strong heat produces airborne pollution instead of compost.,强热会生成空气污染物而不是堆肥产物。
OMNI_PT_BLOM,BLOM consumes O2 into CO2; after four oxygen events or its finite lifetime BLOM -> SLUD.,藻华会把氧气转为二氧化碳；四次耗氧或有限寿命结束后藻华 -> 污泥。,Trigger eutrophication in wastewater.,在污水中触发富营养化。,Oxygen depletion finite-lifetime bloom and sludge generation.,耗氧、有限寿命藻华和污泥生成实验。,Bloom consumes local oxygen and eventually leaves dense sludge.,藻华会消耗局部氧气并最终留下高密度污泥。
OMNI_PT_MOLD,MOLD + wet WOOD or CELU or OWST -> more MOLD; expired MOLD -> HUMS.,霉菌 + 湿润木材、纤维素或有机废物 -> 更多霉菌；寿命结束的霉菌 -> 腐殖质。,Grow on wet organic feed.,在湿润有机原料上生长。,Feed-limited growth decay and antimicrobial treatment.,受原料限制的生长、衰减和抗菌处理实验。,Growth consumes finite feed and treatment can leave toxin or sludge.,生长会消耗有限原料，处理过程可能留下毒素或污泥。
OMNI_PT_BLOD,BLOD + O2 -> oxygenated BLOD + CO2; BLOD + PATH -> TOXN; still or hot BLOD -> HUMS.,血液 + 氧气 -> 含氧血液 + 二氧化碳；血液 + 病原体 -> 毒素；静止或受热血液 -> 腐殖质。,,,Oxygen transport infection and coagulation experiments.,氧输运、感染和凝结实验。,Pathogen contact creates toxin and stationary blood eventually coagulates.,接触病原体会产生毒素，静止血液最终会凝结。
OMNI_PT_TOXN,TOXN + ALGA or MYCL or MOLD or BLOM -> WWTR + damaged biomass; wet SOIL + TOXN -> SOIL + SLUD.,毒素 + 藻类、菌丝、霉菌或藻华 -> 污水 + 受损生物质；湿润土壤 + 毒素 -> 土壤 + 污泥。,Create through pesticide use and infected blood.,由农药处理和受感染血液产生。,Toxicity adsorption and wastewater cleanup.,毒性、吸附和污水清理实验。,Toxin damages several ecological materials before becoming wastewater.,毒素会损伤多种生态材料，随后转为污水。
OMNI_PT_AMAT,AMAT has twelve charges; each PATH or MOLD or BLOM contact consumes one charge and treats one particle; empty AMAT -> DUST.,抗菌材料具有十二次处理量；每次接触病原体、霉菌或藻华会消耗一次并处理一个颗粒；耗尽后 -> 尘埃。,,,Finite-capacity antimicrobial surfaces and treatment filters.,有限容量抗菌表面和处理过滤器实验。,Exhausted material becomes dust and bloom treatment leaves sludge.,耗尽的材料会转为尘埃，处理藻华会留下污泥。
OMNI_PT_SLUD,SLUD + MYCL -> HUMS; hot SLUD -> SOIL + WTRV.,污泥 + 菌丝 -> 腐殖质；高温污泥 -> 土壤 + 水蒸气。,Collect it from filtration neutralisation and bloom collapse.,从过滤、中和和藻华沉降中收集。,Residue settling composting and soil recovery.,残留物沉降、堆肥和土壤回收实验。,Heating releases vapour and untreated sludge remains dense.,加热会释放水蒸气，未处理污泥保持高密度。
OMNI_PT_SMOG,hot MPLS or OWST -> SMOG; SMOG + WTRV -> 2 ARAN.,高温微塑料或有机废物 -> 烟霾；烟霾 + 水蒸气 -> 2 份酸雨。,Strongly heat microplastic or organic waste.,强热微塑料或有机废物。,Air-pollution transport condensation and acid-rain experiments.,空气污染输运、凝结和酸雨实验。,Toxic gas spreads and condenses with water vapour into corrosive liquid.,有毒气体会扩散，并与水蒸气凝结为腐蚀性液体。
OMNI_PT_ARAN,SMOG + WTRV -> 2 ARAN; ARAN + CAOH -> DSTW + SLUD; ARAN corrodes SOIL and common metal.,烟霾 + 水蒸气 -> 2 份酸雨；酸雨 + 氢氧化钙 -> 蒸馏水 + 污泥；酸雨会腐蚀土壤和常见金属。,Condense smog with water vapour.,让烟霾与水蒸气凝结。,Dilute environmental corrosion soil damage and lime neutralisation.,稀释环境腐蚀、土壤损伤和石灰中和实验。,Conductive corrosive water damages soil and metal.,可导电的腐蚀性水会损伤土壤和金属。
OMNI_PT_DETG,DETG + OIL + WATR or DSTW -> 3 WWTR.,洗涤剂 + 石油 + 水或蒸馏水 -> 3 份污水。,,,Oil-spill washing and wastewater-treatment chains.,石油污染清洗和污水处理链实验。,Cleaning consumes fresh water and produces three polluted-water particles.,清洗会消耗清水并产生三份污染水。
OMNI_PT_ALUM,Warm ALUM + ACID or CAUS -> SALT + H2; hot ALUM + O2 -> SALT + FIRE; 4 molten ALUM + 1 molten MAGN -> 5 molten ALMG.,温热铝 + 酸液或苛性物质 -> 盐 + 氢气；高温铝 + 氧气 -> 盐 + 火焰；4 份熔融铝 + 1 份熔融镁 -> 5 份熔融铝镁合金。,Cool molten ALUM or alloy it with magnesium above 950 K.,冷却熔融铝，或在 950 K 以上与镁形成合金。,Light conductor ALMG feedstock and amphoteric chemistry experiments.,轻质导体、铝镁合金原料和两性化学实验。,Warm acid caustic material hot oxygen and molten metal release hydrogen heat or fire.,温热酸液、苛性物质、高温氧气和熔融金属会释放氢气、热量或火焰。
