identifier,wiki_url,wiki_snapshot,english_description,chinese_description
DEFAULT_PT_NONE,https://powdertoy.co.uk/Wiki/W/Elements:Special/zh.html,20260315022808,"The eraser removes particles under the brush without placing a material. It is a drawing tool, so it has no persistent particle behaviour of its own. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.",擦除工具会删除笔刷覆盖范围内的粒子，而不会放置新材料。它属于绘图工具，自身不会作为可持续模拟的粒子留在场景中。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。
DEFAULT_PT_DUST,https://powdertoy.co.uk/Wiki/W/Elements:Powders/zh.html,20260315022917,"A very light powder that is flammable but produces a faint, easy-to-miss flame. Neutron exposure can convert it into legacy firework powder. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.",一种很轻的可燃粉末，火焰较暗，燃烧时容易被忽略。受到中子轰击后可转成传统烟花粉 FWRK。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。
DEFAULT_PT_WATR,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"Conductive water that freezes into water-typed ice near 273.15 K and boils into water vapour near 373 K, with pressure shifting the transition points. It extinguishes most fire, gradually becomes salt water beside SALT or SLTW, and neutrons can purify it into distilled water. Warm water can ignite rubidium, while flowing water slowly erodes ROCK into sand or stone.",可导电的水；在 273.15 K 附近结成带 WATR 类型的冰，在 373 K 附近变成水蒸气，实际相变点会随压力变化。它能扑灭大多数火焰，与 SALT 或已有 SLTW 接触会逐步变成盐水，中子则可将其转为蒸馏水。温水能引燃铷，流动的水还会缓慢侵蚀 ROCK 并形成沙或石头。
DEFAULT_PT_OIL,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"A light, flammable liquid fuel. Heating it past 333 K changes it into GAS, and neutrons striking NITR can produce more OIL. It burns readily when exposed to ignition sources; unlike diesel it has no pressure-triggered transition of its own, so its main behaviours are flowing, burning, and vaporising into gas.",一种较轻的易燃液体燃料。温度超过 333 K 时会变成 GAS，中子轰击 NITR 时也可生成 OIL。它遇点火源后容易持续燃烧；与柴油不同，自身没有由压力直接触发的相变，主要玩法是流动、燃烧和受热气化。
DEFAULT_PT_FIRE,https://powdertoy.co.uk/Wiki/W/Elements:Explosives/zh.html,20260107145511,"Ignites flammable materials. Heats air. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","火焰,用于点燃或加热。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_STNE,https://powdertoy.co.uk/Wiki/W/Elements:Powders/zh.html,20260315022917,"Stone. Heavy particles, meltable. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","石粉,重粉末,熔化时变为LAVA。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_LAVA,https://powdertoy.co.uk/Wiki/W/Elements:Liquids/zh.html,20240528002851,"The shared molten form used by rock, metals, and many other meltable materials. Its ctype records what melted, allowing cooling lava to solidify back into the corresponding material; lava without a useful ctype cools into stone. It starts extremely hot, ignites flammable neighbours, emits a fiery glow, and also carries the bounded molten reactions implemented for OmniPack periodic materials.",岩浆是岩石、金属及许多可熔材料共用的熔融形态。其 ctype 记录熔化前的物质，使其冷却后能凝固回对应材料；没有有效 ctype 的岩浆会变成石头。它初始温度极高，会点燃邻近可燃物并呈现火焰辉光，同时承载 OmniPack 周期材料已实现的有界熔融反应。
DEFAULT_PT_GUNP,https://powdertoy.co.uk/Wiki/W/Elements:Explosives/zh.html,20260107145511,"Gunpowder. Light dust, explodes on contact with fire or spark. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","黑火药,可以被电脉冲和明火引爆。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_NITR,https://powdertoy.co.uk/Wiki/W/Elements:Explosives/zh.html,20260107145511,"Nitroglycerin. Pressure sensitive explosive. Mix with CLST to make TNT. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","硝化甘油,压力下,电脉冲,明火都可以引起爆炸。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
DEFAULT_PT_CLNE,https://powdertoy.co.uk/Wiki/W/Elements:Special/zh.html,20260315022808,"Clone. Duplicates any particles it touches. The Simulation Properties section below is read from this build and lists spawn temperature, heat transfer, heat capacity, weight, gravity, hardness, flammability, explosiveness, conductivity, neutron absorption, and every configured pressure or temperature transition.","复制体,复制碰到它的任何物体。 下方“模拟属性”直接读取当前构建，列出生成温度、导热、热容量、重量、重力、耐蚀性、可燃性、爆炸性、导电、中子吸收以及全部温度和压力相变；实际玩法以这些参数和当前源码为准。"
