tool_identifier,stable_id,content_kind,primary_atomic_number,related_atomic_numbers,compound_group,display_order,periodic_visible,formula,zh_name,en_name,relation_basis,module,source_reference,confidence,notes
OMNI_PT_CHRC,266,related_material,6,6,engineering,266,true,C,木炭,Charcoal,material_family,metallurgy,docs/ELEMENT_CONTENT.csv,medium,Carbon-rich engineering material
OMNI_PT_COKE,267,related_material,6,6,engineering,267,true,C,焦炭,Coke,material_family,metallurgy,docs/ELEMENT_CONTENT.csv,medium,Carbon-rich engineering material
OMNI_PT_STEL,268,related_material,26,6|26,alloy,268,true,Fe-C,钢,Steel,implemented_recipe,metallurgy,src/simulation/OmniMetallurgy.cpp,high,Iron-carbon alloy
OMNI_PT_BRNZ,269,related_material,29,29|50,alloy,269,true,Cu-Sn,青铜,Bronze,implemented_recipe,metallurgy,src/simulation/OmniMetallurgy.cpp,high,Copper-tin alloy
OMNI_PT_BRAS,270,related_material,29,29|30,alloy,270,true,Cu-Zn,黄铜,Brass,implemented_recipe,metallurgy,src/simulation/OmniMetallurgy.cpp,high,Copper-zinc alloy
OMNI_PT_SSIL,271,related_material,26,24|26|28,alloy,271,true,Fe-Cr-Ni,不锈钢,Stainless Steel,implemented_recipe,metallurgy,src/simulation/OmniMetallurgy.cpp,high,Iron-chromium-nickel alloy
OMNI_PT_NCRM,272,related_material,28,24|28,alloy,272,true,Ni-Cr,镍铬合金,Nichrome,implemented_recipe,metallurgy,src/simulation/OmniMetallurgy.cpp,high,Nickel-chromium alloy
OMNI_PT_ALMG,273,related_material,13,12|13,alloy,273,true,Al-Mg,铝镁合金,Aluminium-Magnesium Alloy,implemented_recipe,metallurgy,src/simulation/OmniMetallurgy.cpp,high,Aluminium-magnesium alloy
OMNI_PT_TSTL,274,related_material,26,6|26|27|42,alloy,274,true,Fe-Co-Mo-C,工具钢,Tool Steel,implemented_recipe,metallurgy,src/simulation/OmniMetallurgy.cpp,high,Iron-cobalt-molybdenum-carbon alloy
OMNI_PT_SLAG,275,related_material,26,8|14|20|26,engineering,275,true,SLAG,炉渣,Slag,gameplay_composition,metallurgy,src/simulation/OmniMetallurgy.cpp,medium,Generic silicate-rich metallurgical by-product
OMNI_PT_FLUX,276,related_material,20,8|9|14|20,engineering,276,true,FLUX,助熔剂,Flux,material_family,metallurgy,docs/ELEMENT_CONTENT.csv,medium,Generic mineral flux family
OMNI_PT_CRUC,277,related_material,13,8|13|14,ceramic,277,true,CRUC,工业坩埚,Industrial Crucible,material_family,metallurgy,docs/ELEMENT_CONTENT.csv,medium,Generic aluminosilicate refractory
OMNI_PT_ETHL,362,related_material,6,1|6|8,organic,362,true,C2H6O,乙醇,Ethanol,composition,chemistry,docs/ELEMENT_CONTENT.csv,high,Exact molecular composition
OMNI_PT_KERO,363,related_material,6,1|6,organic,363,true,C-H,煤油,Kerosene,material_family,chemistry,docs/ELEMENT_CONTENT.csv,medium,Hydrocarbon mixture
OMNI_PT_GASO,364,related_material,6,1|6,organic,364,true,C-H,汽油,Gasoline,material_family,chemistry,docs/ELEMENT_CONTENT.csv,medium,Hydrocarbon mixture
OMNI_PT_ACTY,365,related_material,6,1|6,organic,365,true,C2H2,乙炔,Acetylene,composition,chemistry,docs/ELEMENT_CONTENT.csv,high,Exact molecular composition
OMNI_PT_POLY,367,related_material,6,1|6,polymer,367,true,(C2H4)n,聚乙烯,Polyethylene,composition,chemistry,docs/ELEMENT_CONTENT.csv,high,Polyethylene repeat unit
OMNI_PT_SICB,503,related_material,14,6|14,carbide,503,true,SiC,碳化硅,Silicon carbide,composition,chemistry,docs/ELEMENT_CONTENT.csv,high,Exact compound composition
OMNI_PT_BORN,504,related_material,5,5|7,nitride,504,true,BN,氮化硼,Boron nitride,composition,chemistry,docs/ELEMENT_CONTENT.csv,high,Exact compound composition
OMNI_PT_SINT,505,related_material,14,7|14,nitride,505,true,Si3N4,氮化硅,Silicon nitride,composition,chemistry,docs/ELEMENT_CONTENT.csv,high,Exact compound composition
